R,G,B,RGB,Closest Color,Closest RGB,Distance,Original Words,New Words
0,0,0,"(0, 0, 0)",black,"(0, 0, 0)",0.0,"paleoatavistic, undertreated, obeyable, scale, order, swabble","scale of measurement, graduated table, ordered series, scale leaf, scurf, order of magnitude, ordering, ordination, orderliness, decree"
0,0,50,"(0, 0, 50)",black,"(0, 0, 0)",50.0,"paleoatavistic, undertreated, obeyable, scale, order, swabble","scale of measurement, graduated table, ordered series, scale leaf, scurf, order of magnitude, ordering, ordination, orderliness, decree"
0,0,100,"(0, 0, 100)",black,"(0, 0, 0)",100.0,"paleoatavistic, undertreated, obeyable, scale, order, swabble","scale of measurement, graduated table, ordered series, scale leaf, scurf, order of magnitude, ordering, ordination, orderliness, decree"
0,0,150,"(0, 0, 150)",blue,"(0, 0, 255)",105.0,"intelligent, collect, perfect, photopathy, glean, daintily","well-informed, healthy, levelheaded, level-headed, sound, roll up, accumulate, pile up, amass, compile"
0,0,200,"(0, 0, 200)",blue,"(0, 0, 255)",55.0,"intelligent, collect, perfect, photopathy, glean, daintily","well-informed, healthy, levelheaded, level-headed, sound, roll up, accumulate, pile up, amass, compile"
0,0,250,"(0, 0, 250)",blue,"(0, 0, 255)",5.0,"intelligent, collect, perfect, photopathy, glean, daintily","well-informed, healthy, levelheaded, level-headed, sound, roll up, accumulate, pile up, amass, compile"
0,50,0,"(0, 50, 0)",black,"(0, 0, 0)",50.0,"paleoatavistic, undertreated, obeyable, scale, order, swabble","scale of measurement, graduated table, ordered series, scale leaf, scurf, order of magnitude, ordering, ordination, orderliness, decree"
0,50,50,"(0, 50, 50)",black,"(0, 0, 0)",70.7,"paleoatavistic, undertreated, obeyable, scale, order, swabble","scale of measurement, graduated table, ordered series, scale leaf, scurf, order of magnitude, ordering, ordination, orderliness, decree"
0,50,100,"(0, 50, 100)",black,"(0, 0, 0)",111.8,"paleoatavistic, undertreated, obeyable, scale, order, swabble","scale of measurement, graduated table, ordered series, scale leaf, scurf, order of magnitude, ordering, ordination, orderliness, decree"
0,50,150,"(0, 50, 150)",blue,"(0, 0, 255)",116.3,"intelligent, collect, perfect, photopathy, glean, daintily","well-informed, healthy, levelheaded, level-headed, sound, roll up, accumulate, pile up, amass, compile"
0,50,200,"(0, 50, 200)",blue,"(0, 0, 255)",74.3,"intelligent, collect, perfect, photopathy, glean, daintily","well-informed, healthy, levelheaded, level-headed, sound, roll up, accumulate, pile up, amass, compile"
0,50,250,"(0, 50, 250)",blue,"(0, 0, 255)",50.2,"intelligent, collect, perfect, photopathy, glean, daintily","well-informed, healthy, levelheaded, level-headed, sound, roll up, accumulate, pile up, amass, compile"
0,100,0,"(0, 100, 0)",black,"(0, 0, 0)",100.0,"paleoatavistic, undertreated, obeyable, scale, order, swabble","scale of measurement, graduated table, ordered series, scale leaf, scurf, order of magnitude, ordering, ordination, orderliness, decree"
0,100,50,"(0, 100, 50)",black,"(0, 0, 0)",111.8,"paleoatavistic, undertreated, obeyable, scale, order, swabble","scale of measurement, graduated table, ordered series, scale leaf, scurf, order of magnitude, ordering, ordination, orderliness, decree"
0,100,100,"(0, 100, 100)",black,"(0, 0, 0)",141.4,"paleoatavistic, undertreated, obeyable, scale, order, swabble","scale of measurement, graduated table, ordered series, scale leaf, scurf, order of magnitude, ordering, ordination, orderliness, decree"
0,100,150,"(0, 100, 150)",blue,"(0, 0, 255)",145.0,"intelligent, collect, perfect, photopathy, glean, daintily","well-informed, healthy, levelheaded, level-headed, sound, roll up, accumulate, pile up, amass, compile"
0,100,200,"(0, 100, 200)",blue,"(0, 0, 255)",114.1,"intelligent, collect, perfect, photopathy, glean, daintily","well-informed, healthy, levelheaded, level-headed, sound, roll up, accumulate, pile up, amass, compile"
0,100,250,"(0, 100, 250)",blue,"(0, 0, 255)",100.1,"intelligent, collect, perfect, photopathy, glean, daintily","well-informed, healthy, levelheaded, level-headed, sound, roll up, accumulate, pile up, amass, compile"
0,150,0,"(0, 150, 0)",green,"(0, 255, 0)",105.0,"grow, bulbous, heroic, spontaneous, transition","turn, mature, maturate, originate, arise, bulblike, bulb-shaped, bellied, bellying, bulging"
0,150,50,"(0, 150, 50)",green,"(0, 255, 0)",116.3,"grow, bulbous, heroic, spontaneous, transition","turn, mature, maturate, originate, arise, bulblike, bulb-shaped, bellied, bellying, bulging"
0,150,100,"(0, 150, 100)",green,"(0, 255, 0)",145.0,"grow, bulbous, heroic, spontaneous, transition","turn, mature, maturate, originate, arise, bulblike, bulb-shaped, bellied, bellying, bulging"
0,150,150,"(0, 150, 150)",grey,"(170, 170, 170)",172.3,"lose, respectful, apposite, effective, precary, cover","misplace, mislay, turn a loss, fall back, drop off, reverential, venerating, apt, pertinent, effectual"
0,150,200,"(0, 150, 200)",blue,"(0, 0, 255)",159.8,"intelligent, collect, perfect, photopathy, glean, daintily","well-informed, healthy, levelheaded, level-headed, sound, roll up, accumulate, pile up, amass, compile"
0,150,250,"(0, 150, 250)",blue,"(0, 0, 255)",150.1,"intelligent, collect, perfect, photopathy, glean, daintily","well-informed, healthy, levelheaded, level-headed, sound, roll up, accumulate, pile up, amass, compile"
0,200,0,"(0, 200, 0)",green,"(0, 255, 0)",55.0,"grow, bulbous, heroic, spontaneous, transition","turn, mature, maturate, originate, arise, bulblike, bulb-shaped, bellied, bellying, bulging"
0,200,50,"(0, 200, 50)",green,"(0, 255, 0)",74.3,"grow, bulbous, heroic, spontaneous, transition","turn, mature, maturate, originate, arise, bulblike, bulb-shaped, bellied, bellying, bulging"
0,200,100,"(0, 200, 100)",green,"(0, 255, 0)",114.1,"grow, bulbous, heroic, spontaneous, transition","turn, mature, maturate, originate, arise, bulblike, bulb-shaped, bellied, bellying, bulging"
0,200,150,"(0, 200, 150)",green,"(0, 255, 0)",159.8,"grow, bulbous, heroic, spontaneous, transition","turn, mature, maturate, originate, arise, bulblike, bulb-shaped, bellied, bellying, bulging"
0,200,200,"(0, 200, 200)",grey,"(170, 170, 170)",175.2,"lose, respectful, apposite, effective, precary, cover","misplace, mislay, turn a loss, fall back, drop off, reverential, venerating, apt, pertinent, effectual"
0,200,250,"(0, 200, 250)",grey,"(170, 170, 170)",190.3,"lose, respectful, apposite, effective, precary, cover","misplace, mislay, turn a loss, fall back, drop off, reverential, venerating, apt, pertinent, effectual"
0,250,0,"(0, 250, 0)",green,"(0, 255, 0)",5.0,"grow, bulbous, heroic, spontaneous, transition","turn, mature, maturate, originate, arise, bulblike, bulb-shaped, bellied, bellying, bulging"
